"2014-01-08 08:00:00";39000;2;4.1;[0];"En fecha hora 2014-01-08 08:00:00 se tuvo una intensidad de 39000A en 2 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 4.1mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-08 08:10:00";16000;1;4.1;[0];"En fecha hora 2014-01-08 08:10:00 se tuvo una intensidad de 16000A en 1 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 4.1mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-11 15:40:00";29000;2;2.2;[0];"En fecha hora 2014-01-11 15:40:00 se tuvo una intensidad de 29000A en 2 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 2.2mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-11 16:40:00";27000;1;0;[0];"En fecha hora 2014-01-11 16:40:00 se tuvo una intensidad de 27000A en 1 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-11 16:50:00";31000;2;0;[0];"En fecha hora 2014-01-11 16:50:00 se tuvo una intensidad de 31000A en 2 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-11 17:10:00";31000;2;0.1;[0];"En fecha hora 2014-01-11 17:10:00 se tuvo una intensidad de 31000A en 2 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0.1mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-11 17:30:00";26000;1;0;[0];"En fecha hora 2014-01-11 17:30:00 se tuvo una intensidad de 26000A en 1 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 17:20:00";61000;3;0;[0];"En fecha hora 2014-01-14 17:20:00 se tuvo una intensidad de 61000A en 3 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 17:30:00";18000;1;0;[0];"En fecha hora 2014-01-14 17:30:00 se tuvo una intensidad de 18000A en 1 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 19:10:00";71000;3;0;[0];"En fecha hora 2014-01-14 19:10:00 se tuvo una intensidad de 71000A en 3 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 19:30:00";45000;3;0;[0];"En fecha hora 2014-01-14 19:30:00 se tuvo una intensidad de 45000A en 3 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 19:40:00";68000;4;0;[0];"En fecha hora 2014-01-14 19:40:00 se tuvo una intensidad de 68000A en 4 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 19:50:00";85000;4;0;[0];"En fecha hora 2014-01-14 19:50:00 se tuvo una intensidad de 85000A en 4 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 20:00:00";14000;1;0;[0];"En fecha hora 2014-01-14 20:00:00 se tuvo una intensidad de 14000A en 1 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 20:20:00";14000;1;0;[0];"En fecha hora 2014-01-14 20:20:00 se tuvo una intensidad de 14000A en 1 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 20:30:00";70000;4;0;[0];"En fecha hora 2014-01-14 20:30:00 se tuvo una intensidad de 70000A en 4 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 20:40:00";44000;3;0;[0];"En fecha hora 2014-01-14 20:40:00 se tuvo una intensidad de 44000A en 3 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 20:50:00";27000;1;0;[0];"En fecha hora 2014-01-14 20:50:00 se tuvo una intensidad de 27000A en 1 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 21:20:00";95000;5;0;[0];"En fecha hora 2014-01-14 21:20:00 se tuvo una intensidad de 95000A en 5 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 21:30:00";14000;1;0;[0];"En fecha hora 2014-01-14 21:30:00 se tuvo una intensidad de 14000A en 1 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 21:50:00";32000;2;0;[0];"En fecha hora 2014-01-14 21:50:00 se tuvo una intensidad de 32000A en 2 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 22:00:00";16000;1;0;[0];"En fecha hora 2014-01-14 22:00:00 se tuvo una intensidad de 16000A en 1 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 22:10:00";17000;1;0;[0];"En fecha hora 2014-01-14 22:10:00 se tuvo una intensidad de 17000A en 1 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 22:20:00";124000;7;0;[0];"En fecha hora 2014-01-14 22:20:00 se tuvo una intensidad de 124000A en 7 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 22:30:00";166000;12;0;[0];"En fecha hora 2014-01-14 22:30:00 se tuvo una intensidad de 166000A en 12 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
"2014-01-14 22:40:00";190000;14;0;[0];"En fecha hora 2014-01-14 22:40:00 se tuvo una intensidad de 190000A en 14 descargas eléctricas en donde luego de 50m a 1:30h se registró una precipitacion de 0mm y la predicción para esta fecha es +=0 probabilidad baja o nula de lluvias"
